,0,1,2,3,4,5,6,7,8,9,10,11
246,ROCK NAME,SIO2,CR2O3,MNO,P2O5,0.7154726614915533,,,,,,
247,ROCK NAME,SIO2,CR2O3,K2O,NA2O,0.715229911466469,,,,,,
248,ROCK NAME,SIO2,CR2O3,K2O,P2O5,0.7147412060397317,,,,,,
249,ROCK NAME,SIO2,CR2O3,NA2O,P2O5,0.7145982905982886,,,,,,
250,ROCK NAME,SIO2,FEOT,CAO,MGO,0.7149029712110703,,,,,,
251,ROCK NAME,SIO2,FEOT,CAO,MNO,0.7153145208700746,,,,,,
252,ROCK NAME,SIO2,FEOT,CAO,K2O,0.7158241650995256,,,,,,
253,ROCK NAME,SIO2,FEOT,CAO,NA2O,0.7160531215649308,,,,,,
254,ROCK NAME,SIO2,FEOT,CAO,P2O5,0.7164069046421971,,,,,,
255,ROCK NAME,SIO2,FEOT,MGO,MNO,0.7165019586894571,,,,,,
256,ROCK NAME,SIO2,FEOT,MGO,K2O,0.7166332250638331,,,,,,
257,ROCK NAME,SIO2,FEOT,MGO,NA2O,0.7168113253384556,,,,,,
258,ROCK NAME,SIO2,FEOT,MGO,P2O5,0.7169440502773821,,,,,,
259,ROCK NAME,SIO2,FEOT,MNO,K2O,0.7166520563956447,,,,,,
260,ROCK NAME,SIO2,FEOT,MNO,NA2O,0.716562421543263,,,,,,
261,ROCK NAME,SIO2,FEOT,MNO,P2O5,0.7163103600762618,,,,,,
262,ROCK NAME,SIO2,FEOT,K2O,NA2O,0.7161504880136044,,,,,,
263,ROCK NAME,SIO2,FEOT,K2O,P2O5,0.7158155630377837,,,,,,
264,ROCK NAME,SIO2,FEOT,NA2O,P2O5,0.7157734415596035,,,,,,
265,ROCK NAME,SIO2,CAO,MGO,MNO,0.7160243914629864,,,,,,
266,ROCK NAME,SIO2,CAO,MGO,K2O,0.7162805752069157,,,,,,
267,ROCK NAME,SIO2,CAO,MGO,NA2O,0.7164958682371599,,,,,,
268,ROCK NAME,SIO2,CAO,MGO,P2O5,0.7167766374705637,,,,,,
269,ROCK NAME,SIO2,CAO,MNO,K2O,0.7171432591185659,,,,,,
270,ROCK NAME,SIO2,CAO,MNO,NA2O,0.7174791406033699,,,,,,
271,ROCK NAME,SIO2,CAO,MNO,P2O5,0.717624015418131,,,,,,
272,ROCK NAME,SIO2,CAO,K2O,NA2O,0.7178861025014851,,,,,,
273,ROCK NAME,SIO2,CAO,K2O,P2O5,0.7180284345734447,,,,,,
274,ROCK NAME,SIO2,CAO,NA2O,P2O5,0.7183078649745296,,,,,,
275,ROCK NAME,SIO2,MGO,MNO,K2O,0.7184235517568831,,,,,,
276,ROCK NAME,SIO2,MGO,MNO,NA2O,0.7184012671377272,,,,,,
277,ROCK NAME,SIO2,MGO,MNO,P2O5,0.7183313178516995,,,,,,
278,ROCK NAME,SIO2,MGO,K2O,NA2O,0.7184490804562469,,,,,,
279,ROCK NAME,SIO2,MGO,K2O,P2O5,0.7184540767874081,,,,,,
280,ROCK NAME,SIO2,MGO,NA2O,P2O5,0.7187023687616787,,,,,,
281,ROCK NAME,SIO2,MNO,K2O,NA2O,0.7184067136785793,,,,,,
282,ROCK NAME,SIO2,MNO,K2O,P2O5,0.7179352950848807,,,,,,
283,ROCK NAME,SIO2,MNO,NA2O,P2O5,0.7176410791434243,,,,,,
284,ROCK NAME,SIO2,K2O,NA2O,P2O5,0.7174488928874871,,,,,,
285,ROCK NAME,TIO2,AL2O3,CR2O3,FEOT,0.7175070893019588,,,,,,
286,ROCK NAME,TIO2,AL2O3,CR2O3,CAO,0.7176840022368455,,,,,,
287,ROCK NAME,TIO2,AL2O3,CR2O3,MGO,0.7176618391896146,,,,,,
288,ROCK NAME,TIO2,AL2O3,CR2O3,MNO,0.7177581272160256,,,,,,
289,ROCK NAME,TIO2,AL2O3,CR2O3,K2O,0.7178766741985109,,,,,,
290,ROCK NAME,TIO2,AL2O3,CR2O3,NA2O,0.717707221716383,,,,,,
291,ROCK NAME,TIO2,AL2O3,CR2O3,P2O5,0.7175844618766968,,,,,,
292,ROCK NAME,TIO2,AL2O3,FEOT,CAO,0.7176959054092135,,,,,,
293,ROCK NAME,TIO2,AL2O3,FEOT,MGO,0.717880884547549,,,,,,
294,ROCK NAME,TIO2,AL2O3,FEOT,MNO,0.7179004297648343,,,,,,
295,ROCK NAME,TIO2,AL2O3,FEOT,K2O,0.717839634506299,,,,,,
296,ROCK NAME,TIO2,AL2O3,FEOT,NA2O,0.7178783721993576,,,,,,
297,ROCK NAME,TIO2,AL2O3,FEOT,P2O5,0.7179519047527972,,,,,,
298,ROCK NAME,TIO2,AL2O3,CAO,MGO,0.7181774004516455,,,,,,
299,ROCK NAME,TIO2,AL2O3,CAO,MNO,0.7183412472301336,,,,,,
300,ROCK NAME,TIO2,AL2O3,CAO,K2O,0.7184377494454988,,,,,,
301,ROCK NAME,TIO2,AL2O3,CAO,NA2O,0.7186310950107834,,,,,,
302,ROCK NAME,TIO2,AL2O3,CAO,P2O5,0.7187730169028272,,,,,,
303,ROCK NAME,TIO2,AL2O3,MGO,MNO,0.7188765182186209,,,,,,
304,ROCK NAME,TIO2,AL2O3,MGO,K2O,0.7189513178584193,,,,,,
305,ROCK NAME,TIO2,AL2O3,MGO,NA2O,0.7191373542136046,,,,,,
306,ROCK NAME,TIO2,AL2O3,MGO,P2O5,0.7189942803406407,,,,,,
307,ROCK NAME,TIO2,AL2O3,MNO,K2O,0.7191080524413834,,,,,,
308,ROCK NAME,TIO2,AL2O3,MNO,NA2O,0.7191381074876196,,,,,,
309,ROCK NAME,TIO2,AL2O3,MNO,P2O5,0.7190668749808511,,,,,,
310,ROCK NAME,TIO2,AL2O3,K2O,NA2O,0.719029690090781,,,,,,
311,ROCK NAME,TIO2,AL2O3,K2O,P2O5,0.7189166484038255,,,,,,
312,ROCK NAME,TIO2,AL2O3,NA2O,P2O5,0.7189135559742564,,,,,,
313,ROCK NAME,TIO2,CR2O3,FEOT,CAO,0.719061704199706,,,,,,
314,ROCK NAME,TIO2,CR2O3,FEOT,MGO,0.718961696739472,,,,,,
315,ROCK NAME,TIO2,CR2O3,FEOT,MNO,0.7189314436149852,,,,,,
316,ROCK NAME,TIO2,CR2O3,FEOT,K2O,0.7186946713760567,,,,,,
317,ROCK NAME,TIO2,CR2O3,FEOT,NA2O,0.718617666206762,,,,,,
318,ROCK NAME,TIO2,CR2O3,FEOT,P2O5,0.7184369483220032,,,,,,
319,ROCK NAME,TIO2,CR2O3,CAO,MGO,0.7185749050332357,,,,,,
320,ROCK NAME,TIO2,CR2O3,CAO,MNO,0.7186557913453008,,,,,,
321,ROCK NAME,TIO2,CR2O3,CAO,K2O,0.7189072333999845,,,,,,
322,ROCK NAME,TIO2,CR2O3,CAO,NA2O,0.7190630338205134,,,,,,
323,ROCK NAME,TIO2,CR2O3,CAO,P2O5,0.7191856307082624,,,,,,
324,ROCK NAME,TIO2,CR2O3,MGO,MNO,0.7191233837387662,,,,,,
325,ROCK NAME,TIO2,CR2O3,MGO,K2O,0.7190615186525184,,,,,,
