ROCK NAME,SIO2,MGO,CAO,MNO
HARZBURGITE,33.64,40.13,0.07,0.14
HARZBURGITE,34.46,40.18,0.22,0.09
HARZBURGITE,35.12,39.87,0.08,0.1
HARZBURGITE,37.57,39.61,0.55,0.11
HARZBURGITE,38.35,40.0,0.53,0.11
HARZBURGITE,29.39,41.22,0.14,0.17
HARZBURGITE,35.45,41.32,0.36,0.1
HARZBURGITE,36.49,39.14,0.5,0.1
HARZBURGITE,36.81,41.5,0.33,0.1
HARZBURGITE,32.18,40.35,0.32,0.12
HARZBURGITE,38.62,40.03,0.79,0.11
HARZBURGITE,38.08,37.34,0.81,0.11
HARZBURGITE,38.7,39.33,0.62,0.11
HARZBURGITE,40.2,42.69,0.35,0.1
HARZBURGITE,37.37,39.47,0.29,0.09
HARZBURGITE,29.13,41.26,0.16,0.17
HARZBURGITE,38.61,41.84,0.23,0.11
HARZBURGITE,38.09,42.96,0.13,0.11
HARZBURGITE,39.61,40.95,0.8,0.11
HARZBURGITE,37.09,39.5,0.58,0.1
HARZBURGITE,35.53,39.32,0.35,0.1
